Logger:2020-03-16 15:22:11.066642 {'title': '新力・帝泊湾', 'score': ' 3.9／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '4600', 'houseType': set(), 'proAdrr': '剑光街道龙泉路以西，剑匣路以东', 'kaiPan': '2014-11-01'}
Logger:2020-03-16 15:22:11.364845 {'title': '翡丽国际', 'score': '', 'symbol': {'普通住宅'}, 'price': '待定', 'houseType': set(), 'proAdrr': '剑光街道梦祥东路与太阿南路、龙泉南路的交汇处（丰...', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:11.650081 {'title': '名仕兰庭', 'score': ' 4.0／5分', 'symbol': {'普通住宅'}, 'price': '待定', 'houseType': set(), 'proAdrr': '剑南街道新城区紫云大道人民医院南侧', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:12.022087 {'title': '地中海风情', 'score': ' 4.1／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '5080', 'houseType': set(), 'proAdrr': '孙渡街道和合南路与富州南路交汇处', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:12.345295 {'title': '蔚蓝云境', 'score': ' 3.9／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '4200', 'houseType': {'', '三居(建面94�O)', '\n全部\n\t\t\t\t'}, 'proAdrr': '剑南街道府佑东路与河洲路交汇处（人和阳光城对面）', 'kaiPan': '2016年开盘'}
Logger:2020-03-16 15:22:13.502203 {'title': '福泽上城', 'score': ' 3.8／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '5300', 'houseType': set(), 'proAdrr': '府前路与广丰北路口', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:14.917620 {'title': '林达.地中海风情', 'score': ' 4.1／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '4300', 'houseType': set(), 'proAdrr': '孙渡街办和合南路218号', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:16.253448 {'title': '希尔顿.国际都会', 'score': ' 4.0／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '5500', 'houseType': set(), 'proAdrr': '新城区剑邑广场西侧', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:17.665760 {'title': '香域加州', 'score': ' 4.1／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '5200', 'houseType': set(), 'proAdrr': '孙渡街道雷焕路339号\u3000', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:18.828741 {'title': '丰邑中央', 'score': ' 4.1／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '6500', 'houseType': set(), 'proAdrr': '剑邑大道456号(原电杆厂)', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:20.035495 {'title': '丰城天下', 'score': ' 4.2／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '5000', 'houseType': set(), 'proAdrr': '解放南路与建设路交汇处东南侧（原建筑公司）', 'kaiPan': ' 开盘提醒 '}
Logger:2020-03-16 15:22:21.053733 {'title': '紫云花园', 'score': ' 4.0／5分', 'symbol': {'普通住宅', '毛坯'}, 'price': '4200', 'houseType': set(), 'proAdrr': '新城区雷焕路175号', 'kaiPan': ' 开盘提醒 '}
